"statecode","statename","districtcode","district","ar_data","area"
"8","RAJASTHAN","1","GANGANAGAR","1.09","1.09"
"8","RAJASTHAN","2","HANUMANGARH","0.83","0.83"
"8","RAJASTHAN","3","BIKANER","2.48","2.48"
"8","RAJASTHAN","4","CHURU","1.57","1.57"
"8","RAJASTHAN","5","JHUNJHUNUN","0.54","0.54"
"8","RAJASTHAN","6","ALWAR","0.76","0.76"
"8","RAJASTHAN","7","BHARATPUR","0.46","0.46"
"8","RAJASTHAN","8","DHAULPUR","0.27","0.27"
"8","RAJASTHAN","9","KARAULI","0.42","0.42"
"8","RAJASTHAN","10","SAWAI MADHOPUR","0.52","0.52"
"8","RAJASTHAN","11","DAUSA","0.27","0.27"
"8","RAJASTHAN","12","JAIPUR","1.02","1.02"
"8","RAJASTHAN","13","SIKAR","0.70","0.70"
"8","RAJASTHAN","14","NAGAUR","1.61","1.61"
"8","RAJASTHAN","15","JODHPUR","2.07","2.07"
"8","RAJASTHAN","19","SIROHI","0.46","0.46"
"8","RAJASTHAN","20","PALI","1.11","1.11"
"8","RAJASTHAN","21","AJMER","0.70","0.70"
"8","RAJASTHAN","22","TONK","0.65","0.65"
"8","RAJASTHAN","27","DUNGARPUR","0.34","0.34"
"8","RAJASTHAN","28","BANSWARA","0.45","0.45"
"8","RAJASTHAN","29","CHITTAURGARH","0.95","0.95"
"8","RAJASTHAN","30","KOTA","0.60","0.60"
"8","RAJASTHAN","31","BARAN","0.51","0.51"
"8","RAJASTHAN","32","JHALAWAR","0.56","0.56"
"9","UTTAR PRADESH","1","SAHARANPUR","0.35","0.35"
"9","UTTAR PRADESH","2","MUZAFFARNAGAR","0.38","0.38"
"9","UTTAR PRADESH","4","MORADABAD","0.31","0.31"
"9","UTTAR PRADESH","5","RAMPUR","0.24","0.24"
"9","UTTAR PRADESH","7","MEERUT","0.27","0.27"
"9","UTTAR PRADESH","8","BAGHPAT","0.10","0.10"
"9","UTTAR PRADESH","9","GHAZIABAD","0.24","0.24"
"9","UTTAR PRADESH","10","GAUTAM BUDDHA NAGAR","0.07","0.07"
"9","UTTAR PRADESH","11","BULANDSHAHAR","0.33","0.33"
"9","UTTAR PRADESH","12","ALIGARH","0.26","0.26"
"9","UTTAR PRADESH","13","HATHRAS","0.27","0.27"
"9","UTTAR PRADESH","14","MATHURA","0.28","0.28"
"9","UTTAR PRADESH","15","AGRA","0.32","0.32"
"9","UTTAR PRADESH","16","FIROZABAD","0.26","0.26"
"9","UTTAR PRADESH","17","ETAH","0.41","0.41"
"9","UTTAR PRADESH","18","MAINPURI","0.25","0.25"
"9","UTTAR PRADESH","20","BAREILLY","0.35","0.35"
"9","UTTAR PRADESH","22","SHAHJAHANPUR","0.43","0.43"
"9","UTTAR PRADESH","24","SITAPUR","0.53","0.53"
"9","UTTAR PRADESH","25","HARDOI","0.55","0.55"
"9","UTTAR PRADESH","26","UNNAO","0.42","0.42"
"9","UTTAR PRADESH","27","LUCKNOW","0.34","0.34"
"9","UTTAR PRADESH","29","FARRUKHABAD","0.20","0.20"
"9","UTTAR PRADESH","30","KANNAUJ","0.19","0.19"
"9","UTTAR PRADESH","31","ETAWAH","0.20","0.20"
"9","UTTAR PRADESH","32","AURAIYA","0.20","0.20"
"9","UTTAR PRADESH","33","KANPUR DEHAT","0.27","0.27"
"9","UTTAR PRADESH","34","KANPUR NAGAR","0.28","0.28"
"9","UTTAR PRADESH","35","JALAUN","0.41","0.41"
"9","UTTAR PRADESH","36","JHANSI","0.45","0.45"
"9","UTTAR PRADESH","37","LALITPUR","0.45","0.45"
"9","UTTAR PRADESH","38","HAMIRPUR","0.38","0.38"
"9","UTTAR PRADESH","39","MAHOBA","0.26","0.26"
"9","UTTAR PRADESH","40","BANDA","0.41","0.41"
"9","UTTAR PRADESH","41","CHITRAKOOT","0.28","0.28"
"9","UTTAR PRADESH","43","PRATAPGARH","0.33","0.33"
"9","UTTAR PRADESH","44","KAUSHAMBI","0.12","0.12"
"9","UTTAR PRADESH","45","ALLAHABAD","0.53","0.53"
"9","UTTAR PRADESH","46","BARABANKI","0.40","0.40"
"9","UTTAR PRADESH","47","FAIZABAD","0.19","0.19"
"9","UTTAR PRADESH","48","AMBEDKAR NAGAR","0.21","0.21"
"9","UTTAR PRADESH","49","SULTANPUR","0.40","0.40"
"9","UTTAR PRADESH","50","BAHRAICH","0.40","0.40"
"9","UTTAR PRADESH","53","GONDA","0.30","0.30"
"9","UTTAR PRADESH","54","SIDDHARTHNAGAR","0.32","0.32"
"9","UTTAR PRADESH","55","BASTI","0.23","0.23"
"9","UTTAR PRADESH","61","AZAMGARH","0.35","0.35"
"9","UTTAR PRADESH","62","MAU","0.19","0.19"
"9","UTTAR PRADESH","63","BALLIA","0.27","0.27"
"9","UTTAR PRADESH","66","CHANDAULI","0.23","0.23"
"9","UTTAR PRADESH","67","VARANASI","0.14","0.14"
"9","UTTAR PRADESH","68","SANT RAVIDAS NAGAR","0.09","0.09"
"10","BIHAR","1","PASHCHIM CHAMPARAN","0.48","0.48"
"10","BIHAR","2","PURBA CHAMPARAN","0.36","0.36"
"19","WEST BENGAL","2","JALPAIGURI","0.56","0.56"
"19","WEST BENGAL","3","KOCH BIHAR","0.31","0.31"
"19","WEST BENGAL","4","UTTAR DINAJPUR","0.35","0.35"
"19","WEST BENGAL","5","DAKSHIN DINAJPUR","0.14","0.14"
"19","WEST BENGAL","6","MALDAH","0.32","0.32"
"19","WEST BENGAL","7","MURSHIDABAD","0.47","0.47"
"19","WEST BENGAL","8","BIRBHUM","0.40","0.40"
"19","WEST BENGAL","10","NADIA","0.35","0.35"
"19","WEST BENGAL","11","NORTH TWENTY FOUR PARGANA","0.42","0.44"
"19","WEST BENGAL","13","BANKURA","0.61","0.61"
"19","WEST BENGAL","14","PURULIYA","0.55","0.55"
"19","WEST BENGAL","15","MEDINIPUR","1.19","1.20"
"19","WEST BENGAL","17","KOLKATA","0.01","0.01"
"19","WEST BENGAL","12","HUGLI","0.28","0.28"
"19","WEST BENGAL","1","DARJILING","0.29","0.29"
"19","WEST BENGAL","9","BARDDHAMAN","0.62","0.62"
"19","WEST BENGAL","18","SOUTH TWENTY FOUR PARGANA","0.32","0.39"
"19","WEST BENGAL","16","HAORA","0.13","0.13"
